product_name,review_body,stars,sentiment
Ecouteurs Bluetooth,Fonctionne parfaitement bien.,5,Positive
Ecran 4K 27 pouces,"Super produit, rien à dire.",4,Positive
Enceinte Connectée,C'est un excellent produit !,5,Positive
Clavier Gamer RGB,Très simple à installer.,4,Positive
Webcam HD 1080p,"Super produit, rien à dire.",4,Positive
Enceinte Connectée,Les performances sont impressionnantes.,5,Positive
Cable USB-C Charge Rapide,La qualité est médiocre.,1,Negative
Casque Audio Noise Cancelling,Fonctionne parfaitement bien.,4,Positive
Tapis de Souris XXL,Vraiment ravi de mon achat.,5,Positive
Tapis de Souris XXL,Très déçu par cet achat.,2,Negative
Support PC Portable,Vraiment ravi de mon achat.,5,Positive
Enceinte Connectée,Les performances sont impressionnantes.,5,Positive
Ecran 4K 27 pouces,Produit correct pour le prix.,3,Neutral
Ecran 4K 27 pouces,Fait le job mais sans plus.,3,Neutral
Ecran 4K 27 pouces,Je ne recommande pas ce produit.,2,Negative
Support PC Portable,"Moyen, j'attendais un peu mieux.",3,Neutral
Souris Sans Fil,"Super produit, rien à dire.",4,Positive
Cable USB-C Charge Rapide,Fait le job mais sans plus.,3,Neutral
Webcam HD 1080p,Un peu déçu par la finition mais ça fonctionne.,3,Neutral
Souris Sans Fil,"Super produit, rien à dire.",5,Positive
Enceinte Connectée,C'est un excellent produit !,5,Positive
Ecran 4K 27 pouces,Une perte de temps et d'argent.,2,Negative
Cable USB-C Charge Rapide,Fonctionne parfaitement bien.,5,Positive
Support PC Portable,La qualité est au rendez-vous.,5,Positive
Cable USB-C Charge Rapide,Les performances sont impressionnantes.,5,Positive
Casque Audio Noise Cancelling,En panne après deux jours d'utilisation.,2,Negative
Ecran 4K 27 pouces,Le SAV est inexistant.,1,Negative
Support PC Portable,Vraiment ravi de mon achat.,4,Positive
Souris Sans Fil,"Arrivé dans les temps, emballage sommaire.",3,Neutral
Webcam HD 1080p,Les performances sont impressionnantes.,5,Positive
Support PC Portable,"Super produit, rien à dire.",4,Positive
Ecouteurs Bluetooth,"Pas mal du tout, malgré quelques petits défauts.",3,Neutral
Tapis de Souris XXL,La qualité est au rendez-vous.,5,Positive
Support PC Portable,Très simple à installer.,5,Positive
Souris Sans Fil,"Super produit, rien à dire.",4,Positive
Cable USB-C Charge Rapide,La qualité est médiocre.,1,Negative
Tapis de Souris XXL,Produit correct pour le prix.,3,Neutral
Webcam HD 1080p,Vraiment ravi de mon achat.,4,Positive
Tapis de Souris XXL,Plastique de mauvaise qualité.,2,Negative
Clavier Gamer RGB,Vraiment ravi de mon achat.,4,Positive
Support PC Portable,La qualité est médiocre.,1,Negative
Support PC Portable,Je ne recommande pas ce produit.,1,Negative
Enceinte Connectée,Plastique de mauvaise qualité.,2,Negative
Enceinte Connectée,Un peu déçu par la finition mais ça fonctionne.,3,Neutral
Cable USB-C Charge Rapide,Design élégant et robuste.,5,Positive
Enceinte Connectée,Fonctionne parfaitement bien.,4,Positive
Ecouteurs Bluetooth,Les performances sont impressionnantes.,4,Positive
Ecran 4K 27 pouces,Fonctionne parfaitement bien.,4,Positive
Ecouteurs Bluetooth,Ne fonctionne pas du tout.,2,Negative
Enceinte Connectée,Fonctionne parfaitement bien.,5,Positive
Enceinte Connectée,Fonctionne parfaitement bien.,5,Positive
Support PC Portable,Ne fonctionne pas du tout.,1,Negative
Ecouteurs Bluetooth,"Moyen, j'attendais un peu mieux.",3,Neutral
Casque Audio Noise Cancelling,"Super produit, rien à dire.",4,Positive
Ecouteurs Bluetooth,Vraiment ravi de mon achat.,5,Positive
Ecran 4K 27 pouces,La qualité est au rendez-vous.,5,Positive
